#TYPE System.Management.Automation.PSCustomObject
"Low","High","LBin","HBin","LDec","HDec"
"31.207.80.0","31.207.87.255","00011111110011110101000000000000","00011111110011110101011111111111","533680128","533682175"
"31.209.96.0","31.209.96.0","00011111110100010110000000000000","00011111110100010110000000000000","533815296","533815296"
"31.209.100.0","31.209.100.0","00011111110100010110010000000000","00011111110100010110010000000000","533816320","533816320"
"31.209.104.0","31.209.104.0","00011111110100010110100000000000","00011111110100010110100000000000","533817344","533817344"
"31.210.9.184","31.210.9.187","00011111110100100000100110111000","00011111110100100000100110111011","533858744","533858747"
"31.210.10.32","31.210.10.35","00011111110100100000101000100000","00011111110100100000101000100011","533858848","533858851"
"31.210.10.40","31.210.10.43","00011111110100100000101000101000","00011111110100100000101000101011","533858856","533858859"
"31.210.10.52","31.210.10.55","00011111110100100000101000110100","00011111110100100000101000110111","533858868","533858871"
"31.210.11.44","31.210.11.51","00011111110100100000101100101100","00011111110100100000101100110011","533859116","533859123"
"31.210.11.160","31.210.11.191","00011111110100100000101110100000","00011111110100100000101110111111","533859232","533859263"
"31.210.13.16","31.210.13.23","00011111110100100000110100010000","00011111110100100000110100010111","533859600","533859607"
"31.210.13.32","31.210.13.63","00011111110100100000110100100000","00011111110100100000110100111111","533859616","533859647"
"31.210.13.84","31.210.13.87","00011111110100100000110101010100","00011111110100100000110101010111","533859668","533859671"
"31.210.15.48","31.210.15.51","00011111110100100000111100110000","00011111110100100000111100110011","533860144","533860147"
"31.210.32.0","31.210.127.255","00011111110100100010000000000000","00011111110100100111111111111111","533864448","533889023"
"31.210.152.0","31.210.159.255","00011111110100101001100000000000","00011111110100101001111111111111","533895168","533897215"
"31.214.129.0","31.214.129.255","00011111110101101000000100000000","00011111110101101000000111111111","534151424","534151679"
"31.214.152.0","31.214.152.255","00011111110101101001100000000000","00011111110101101001100011111111","534157312","534157567"
"31.223.0.0","31.223.127.255","00011111110111110000000000000000","00011111110111110111111111111111","534708224","534740991"
"37.9.200.0","37.9.207.255","00100101000010011100100000000000","00100101000010011100111111111111","621398016","621400063"
"37.34.0.0","37.34.31.255","00100101001000100000000000000000","00100101001000100001111111111111","622985216","622993407"
"37.44.228.0","37.44.231.255","00100101001011001110010000000000","00100101001011001110011111111111","623698944","623699967"
"37.58.16.0","37.58.23.255","00100101001110100001000000000000","00100101001110100001011111111111","624562176","624564223"
"37.72.48.0","37.72.63.255","00100101010010000011000000000000","00100101010010000011111111111111","625487872","625491967"
"37.75.8.0","37.75.15.255","00100101010010110000100000000000","00100101010010110000111111111111","625674240","625676287"
"37.77.0.0","37.77.31.255","00100101010011010000000000000000","00100101010011010001111111111111","625803264","625811455"
"37.122.136.0","37.122.143.255","00100101011110101000100000000000","00100101011110101000111111111111","628787200","628789247"
"37.122.224.0","37.122.239.255","00100101011110101110000000000000","00100101011110101110111111111111","628809728","628813823"
"37.123.0.0","37.123.63.255","00100101011110110000000000000000","00100101011110110011111111111111","628817920","628834303"
"37.123.96.0","37.123.103.255","00100101011110110110000000000000","00100101011110110110011111111111","628842496","628844543"
"37.130.64.0","37.130.127.255","00100101100000100100000000000000","00100101100000100111111111111111","629293056","629309439"
"37.131.248.0","37.131.255.255","00100101100000111111100000000000","00100101100000111111111111111111","629405696","629407743"
"37.140.208.0","37.140.215.255","00100101100011001101000000000000","00100101100011001101011111111111","629985280","629987327"
"37.148.208.0","37.148.215.255","00100101100101001101000000000000","00100101100101001101011111111111","630509568","630511615"
"37.152.72.0","37.152.74.255","00100101100110000100100000000000","00100101100110000100101011111111","630736896","630737663"
"37.154.0.0","37.155.255.255","00100101100110100000000000000000","00100101100110111111111111111111","630849536","630980607"
"37.156.246.0","37.156.246.255","00100101100111001111011000000000","00100101100111001111011011111111","631043584","631043839"
"37.202.48.0","37.202.55.255","00100101110010100011000000000000","00100101110010100011011111111111","634007552","634009599"
"37.205.0.0","37.205.7.255","00100101110011010000000000000000","00100101110011010000011111111111","634191872","634193919"
"37.221.76.0","37.221.79.255","00100101110111010100110000000000","00100101110111010100111111111111","635259904","635260927"
"37.230.104.0","37.230.111.255","00100101111001100110100000000000","00100101111001100110111111111111","635856896","635858943"
"37.235.72.0","37.235.79.255","00100101111010110100100000000000","00100101111010110100111111111111","636176384","636178431"
"37.247.96.0","37.247.111.255","00100101111101110110000000000000","00100101111101110110111111111111","636968960","636973055"
"38.28.1.186","38.28.1.186","00100110000111000000000110111010","00100110000111000000000110111010","639369658","639369658"
"38.28.1.190","38.28.1.190","00100110000111000000000110111110","00100110000111000000000110111110","639369662","639369662"
"45.123.116.0","45.123.116.255","00101101011110110111010000000000","00101101011110110111010011111111","763065344","763065599"
"45.123.118.0","45.123.119.255","00101101011110110111011000000000","00101101011110110111011111111111","763065856","763066367"
"46.1.0.0","46.2.255.255","00101110000000010000000000000000","00101110000000101111111111111111","771817472","771948543"
"46.17.128.0","46.17.135.255","00101110000100011000000000000000","00101110000100011000011111111111","772898816","772900863"
